"","age","age2","dom.decid","dom.pine","dom.mixed","dom.spruce","dom.Bspr","dom.larch","dom.low","dom.open"
"BG_18_4",100.91358634308,10183.5519086223,0,0.513462877112378,0,0,0.186612855914086,0,0,0
"BG_18_41",61.0039966875593,3721.48761185575,0,0,0,0,1,0,0,0
"BG_18_42",14.8391684804488,220.200921191144,1,0,0,0,0,0,0,0
"BG_18_45",58.8140634710386,3459.09406197536,0,0,0,1,0,0,0,0
"BG_18_46",77.721038204578,6040.55977959747,1,0,0,0,0,0,0,0
"BG_18_47",39.1853303435692,1535.49011413464,1,0,0,0,0,0,0,0
"BG_18_48",128.708061158095,16565.765007076,0,0,1,0,0,0,0,0
"BG_18_49",140,19600,0.829520042186447,0,0.15316394681028,0,0,0,0,0
"BG_18_5",106.055316082979,11247.7300694605,0,1,0,0,0,0,0,0
"BG_18_50",103.632048944992,10739.6015685373,0.319053927579549,0,0,0,0,0,0,0
"BG_18_51",63.1253462483998,3984.80933898036,1,0,0,0,0,0,0,0
"BG_18_52",68.1924217398413,4650.20638274437,1,0,0,0,0,0,0,0
"BG_18_55",132.107390272633,17452.3625646457,0,0,0,0.504113992788514,0,0,0,0
"BG_18_56",44.4142950844689,1972.62960785028,1,0,0,0,0,0,0,0
"BG_18_57",65.9441901616554,4348.63621607657,1,0,0,0,0,0,0,0
"BG_18_58",140,19600,1,0,0,0,0,0,0,0
"BG_18_59",140,19600,0,0,1,0,0,0,0,0
"BG_18_6",86.7137045208812,7519.26655173469,0,0.921560541772836,0.0634978938255137,0,0,0,0,0
"BG_18_60",135.858680593907,18457.5810927172,0.627346325776568,0,0,0,0,0,0,0
"BG_18_61",44.2733258397886,1960.12738091609,1,0,0,0,0,0,0,0
"BG_18_62",56.845047787176,3231.35945792633,0.971337069257384,0,0,0.0139086065999948,0,0,0,0
"BG_18_63",64.3309180917408,4138.46702252626,0,0,0,1,0,0,0,0
"BG_18_64",66.1213863134488,4372.03772801234,0,0,0,1,0,0,0,0
"BG_18_65",58.0845567729729,3373.81573551272,0.604030124067126,0,0.371399781786431,0,0,0,0,0
"BG_18_66",118.93986401327,14146.6912514951,1,0,0,0,0,0,0,0
"BG_18_67",71.9399830091461,5175.36115535624,1,0,0,0,0,0,0,0
"BG_18_68",78.8755359690158,6221.3501743995,1,0,0,0,0,0,0,0
"BG_18_69",125.020532032797,15630.1334297636,0.993973968639847,0,0,0,0,0,0,0
"BG_18_7",75.6910824108595,5729.13995652753,0,1,0,0,0,0,0,0
"BG_18_70",102.393496827397,10484.4281925421,0,0,0,0,1,0,0,0
"BG_18_71",57.7693197133815,3337.29430014689,0.519344055537029,0,0,0,0,0,0.480636852978145,0
"BG_18_72",87.4750374002068,7651.88216816759,0.19068631293979,0,0,0.229617232288124,0,0,0,0
"BG_18_73",51.2455369588387,2626.10505819971,0,0,0,1,0,0,0,0
"BG_18_74",100.372955793958,10074.7302548159,0.16272268885262,0,0,0.796724395510568,0,0,0,0
"BG_18_75",127.868780513439,16350.425029994,0,0,0,0.889092647978371,0,0,0,0
"BG_18_76",133.337660487997,17778.9317044123,0,0,0.291747972885313,0.669606104534703,0,0,0,0
"BG_18_77",135.61069048363,18390.259373447,0.583054265803986,0,0,0.202241710331643,0,0,0,0
"BG_18_78",74.6333987607309,5570.14421057826,1,0,0,0,0,0,0,0
"BG_18_79",67.80815225557,4597.94551231456,1,0,0,0,0,0,0,0
"BG_18_8",86.6496795343611,7508.16696340747,0,0.604672905639829,0.384421107853121,0,0,0,0,0
"BG_18_80",99.2323020558392,9847.04977130131,1,0,0,0,0,0,0,0
"BG_18_81",45.3615165246311,2057.66718141438,0.518406959890132,0,0.139751434898291,0,0,0,0,0
"BG_18_82",42.4107514382302,1798.67183755534,1,0,0,0,0,0,0,0
"BG_18_83",49.0813187010462,2408.97584543367,0,0,0,1,0,0,0,0
"BG_18_84",57.3188768972209,3285.45364875877,0,0,0,1,0,0,0,0
"BG_18_85",32.9742845550001,1087.30344191412,0,0,0,1,0,0,0,0
"BG_18_86",90.9839611644364,8278.08118917166,0,0,0,1,0,0,0,0
"BG_18_87",54.9929491658118,3024.22445795356,0,0,0,1,0,0,0,0
"BG_18_88",116.106580509759,13480.7380376691,1,0,0,0,0,0,0,0
"BG_18_89",30.9466373936877,957.694365976389,1,0,0,0,0,0,0,0
"BG_18_9",126.551780946016,16015.3532606084,0,0,0,0,0.840123904517846,0,0,0
"BG_18_90",27.8248722836989,774.223517604156,1,0,0,0,0,0,0,0
